id,name,lastname,gender,nationality
6336,"GIOVINAZZO, Girolamo",M,ITA
6337,"GIPSON, Graham Chater",M,AUS
6338,"GIRAN, Gaston",M,FRA
6339,"GIRARD, Patricia",F,FRA
6340,"GIRARD, Pierre",M,SUI
6341,"GIRARDET, R.",M,FRA
6342,"GIRARDOT, Maurice",M,FRA
6343,"GIRAULT, Olivier",M,FRA
6344,"GIRIAT, Andre",M,FRA
6345,"GIRLEANU, Dan",M,ROU
6346,"GIRON, Carlos",M,MEX
6347,"GIROUX, Auguste",M,FRA
6348,"GISOLF, Carolina Anna",F,NED
6349,"GISSEN, Leonid",M,URS
6350,"GITINOV, Arsen",M,RUS
6351,"GITSHAM, Christian W.",M,RSA
6352,"GIUDICELLI, Jean-Pierre",M,FRA
6353,"GIURCA, Elena",F,ROU
6354,"GIUROVA, Krassimira",F,BUL
6355,"GIUSTOLISI, Luca",M,ITA
6356,"GJERTSEN, Douglas S.",M,USA
6357,"GJERTSEN, Robert",M,NOR
6358,"GLÃ–CKNER, Michael",M,GER
6359,"GLAB, Andrzej",M,POL
6360,"GLACKEN, Gerald",M,IND
6361,"GLAD, Thoralf",M,NOR
6362,"GLADSTONE, Albert Charles",M,GBR
6363,"GLAHN, Klaus",M,EUA
6364,"GLAHN, Klaus",M,FRG
6365,"GLANCE, Harvey Edward",M,USA
6366,"GLANCY, Harrison Smith",M,USA
6367,"GLANFIELD, Joe",M,GBR
6368,"GLASER, Jay",M,USA
6369,"GLASER, Sarah",F,USA
6370,"GLASGOW, Victor Wayne",M,USA
6371,"GLASGOW, Walter Merrill, Jr.",M,USA
6372,"GLASS, Hermann",M,USA
6373,"GLASS, Kenneth",M,CAN
6374,"GLASS, Kimberly",F,USA
6375,"GLASSER, Lars",M,SWE
6376,"GLATSKIKH, Olga",F,RUS
6377,"GLAUS, Troy",M,USA
6378,"GLAVAN, Damir",M,CRO
6379,"GLAVAN, Marcel",M,ROU
6380,"GLAZKOV, Vyacheslav",M,UKR
6381,"GLAZKOVA, Anna",F,BLR
6382,"GLEASON, Edward Francis",M,USA
6383,"GLEASON, Michael D.",M,USA
6384,"GLEN COATS, Thomas Coats",M,GBR
6385,"GLENCROSS, Brian",M,AUS
6386,"GLENESK, Dean William",M,USA
6387,"GLINEUX, Louis",M,BEL
6388,"GLIUBICH, Vittorio",M,ITA
6389,"GLOUCHKOV, Alexei",M,RUS
6390,"GLOVER, Ernest",M,GBR
6391,"GLOVER, Stanley",M,CAN
6392,"GLUBOKOVA, Lidia",F,URS
6393,"GLUKHOV, Andrey",M,RUS
6394,"GLUSHCHENKO, Tatyana",F,URS
6395,"GLYKAIS, Gyula",M,HUN
6396,"GMELIN, Charles",M,GBR
6397,"GMYREK, Jan",M,POL
6398,"GNAUCK, Maxi",F,GDR
6399,"GOBEDJICHVILI, David",M,URS
6400,"GOBEDJICHVILI, David",M,EUN
6401,"GOBERT, AndrÃ© Henri",M,FRA
6402,"GOBILLOT, Marcel",M,FRA
6403,"GOBLET D'AVIELLA, FÃ©lix",M,BEL
6404,"GOBOROV, Valeri",M,URS
6405,"GOCANIN, Igor",M,YUG
6406,"GOCIC, Zivko",M,SRB
6407,"GODDARD-CALLENDER, Beverley",F,GBR
6408,"GODDAY, James",M,NGR
6409,"GODEFROID, Sebastien",M,BEL
6410,"GODEFROOT, Walter",M,BEL
6411,"GODEL, Arkadiusz",M,POL
6412,"GODEL, Gaston",M,SUI
6413,"GODERIE, Maartje",F,NED
6414,"GODIGNON, Herve",M,FRA
6415,"GODINA, Elena",F,RUS
6416,"GODINA, John",M,USA
6417,"GODOY FILHO, Gilberto",M,BRA
6418,"GODWIN, Thomas Charles",M,GBR
6419,"GOEDRICH, August",M,GER
6420,"GOELDEL, Alfred",M,GER
6421,"GOELDEL, Horst",M,GER
6422,"GOELLNER, Marc-Kevin",M,GER
6423,"GOEMAERE, Adolphe",M,BEL
6424,"GOENS, Daniel",M,BEL
6425,"GOERKE, Oscar",M,USA
6426,"GOERTZ, Armin",M,FRG
6427,"GOESSING, Ludwig (Lutz)",M,FRG
6428,"GOETTE, Jeannette",F,GER
6429,"GOETZ, Hugo",M,USA
6430,"GOETZ, Janina Kristin",F,GER
6431,"GOFERS, Taniele",F,AUS
6432,"GOGEAN, Gina Elena",F,ROU
6433,"GOGOLADZE, Leri",M,URS
6434,"GOGOLADZE, Vladimir",M,URS
6435,"GOGOVA, Tania",F,BUL
6436,"GOGSHELIDZE, George",M,GEO
6437,"GOHEEN, Frank Xavier",M,USA
6438,"GOIKHMAN, Boris",M,URS
6439,"GOISHCHIK, Tatiana",F,URS
6440,"GOJAN, Veaceslav",M,MDA
6441,"GOJKOVIC, Vladimir",M,SCG
6442,"GOKSOR, Susann",F,NOR
6443,"GOLAB, Marek",M,POL
6444,"GOLDA, Natalie",F,USA
6445,"GOLDBLATT, Scott",M,USA
6446,"GOLDER, Thomas Douglas",M,AUS
6447,"GOLDOBINA, Tatiana",F,RUS
6448,"GOLDOVANYI, Bela",M,HUN
6449,"GOLDSCHMIDT, Bjorn",M,GER
6450,"GOLDSMITH, Henry Mills",M,GBR
6451,"GOLEA, Eugenia",F,ROU
6452,"GOLEMIS, Dimitrios",M,GRE
6453,"GOLIAN, Bohumil",M,TCH
6454,"GOLIC, Sladjana",F,YUG
6455,"GOLIMOWSKA, Marja",F,POL
6456,"GOLLAN, Donald Herbert Louis",M,GBR
6457,"GOLLING, Friedrich",M,AUT
6458,"GOLLINI, Alfredo",M,ITA
6459,"GOLOTA, Andrzej",M,POL
6460,"GOLOTSUTSKOV, Anton",M,RUS
6461,"GOLOVANOV, Oleg",M,URS
6462,"GOLOVANOV, Vladimir",M,URS
6463,"GOLOVKIN, Gennadiy",M,KAZ
6464,"GOLTCHEVA, Nadka",F,BUL
6465,"GOLUBNICHAYA, Mariya",F,URS
6466,"GOLUBNICHY, Vladimir",M,URS
6467,"GOLUBYTSKY, Serguei",M,EUN
6468,"GOLUZA, Slavko",M,CRO
6469,"GOLZ, Rolf",M,FRG
6470,"GOMBOS, Sandor",M,HUN
6471,"GOMEZ DOMINGUEZ, Andres",M,MEX
6472,"GOMEZ PORTUGAL, Jesus",M,MEX
6473,"GOMEZ, Jose",M,CUB
6474,"GOMEZ, S. N.",M,ARG
6475,"GOMEZ, Salvador",M,ESP
6476,"GOMEZ, Yasser",M,CUB
6477,"GOMIS, Anna",F,FRA
6478,"GOMMERS, Maria Francisca P.",F,NED
6479,"GOMPF, Thomas Eugen",M,USA
6480,"GONCALVES, Lilian Cristina",F,BRA
6481,"GONCHARENKO, Svetlana",F,RUS
6482,"GONCHAROV, Aleksandr",M,URS
6483,"GONCHAROV, Valeri",M,UKR
6484,"GONCHAROVA, Natalia",F,RUS
6485,"GONCI, Jozef",M,SVK
6486,"GONDOUIN, Charles",M,FRA
6487,"GONG, Zhichao",F,CHN
6488,"GONNELLI, Tullio",M,ITA
6489,"GONNET, C.",M,FRA
6490,"GONOBOBLEVA, Tatyana",F,URS
6491,"GONSIOR, Bogdan",M,POL
6492,"GONTIUK, Roman",M,UKR
6493,"GONZAGA, Welissa",F,BRA
6494,"GONZALES, Joseph",M,FRA
6495,"GONZALEZ JUNQUERA, Marco Antonio",M,ESP
6496,"GONZALEZ OLIVA, Mariana",F,ARG
6497,"GONZALEZ SANCHEZ, Raul",M,CUB
6498,"GONZALEZ, Antonio",M,ESP
6499,"GONZALEZ, Aristides",M,PUR
6500,"GONZALEZ, Carlos",M,URU
6501,"GONZALEZ, Cristian",M,ARG
6502,"GONZALEZ, Driulys",F,CUB
6503,"GONZALEZ, Fernando",M,CHI
6504,"GONZALEZ, Julio",M,PAR
6505,"GONZALEZ, Luis",M,ARG
6506,"GONZALEZ, Maria",F,ESP
6507,"GONZALEZ, Mario",M,MEX
6508,"GONZALEZ, Norberto",M,CUB
6509,"GONZALEZ, Paul",M,AUS
6510,"GONZALEZ, Paul Garza Jr.",M,USA
6511,"GONZALEZ, Raul",M,MEX
6512,"GONZALEZ, Raul",M,ESP
6513,"GONZALEZ, Roman Javier",M,ARG
6514,"GONZALEZ, Sebastian",M,CHI
6515,"GONZALEZ, Yoanka",F,CUB
6516,"GOODALE, Anna",F,USA
6517,"GOODE, Joanne",F,GBR
6518,"GOODELL, Brian Stuart",M,USA
6519,"GOODFELLOW, Frederick William",M,GBR
6520,"GOODHEW, Dunkan",M,GBR
6521,"GOODISON, Paul",M,GBR
6522,"GOODMAN, Michael",M,CAN
6523,"GOODMAN, Scott",M,AUS
6524,"GOODSIR-CULLEN, William John",M,IND
6525,"GOODWIN, Gordon",M,GBR
6526,"GOODWIN, Leo Budd",M,USA
6527,"GOOSEN, Harry W.",M,RSA
6528,"GOPCEVIC, Zoran",M,YUG
6529,"GOPIN, Valeri",M,URS
6530,"GOPINE, Valeri",M,EUN
6531,"GOPOVA-TROFIMOVA, Nina",F,URS
6532,"GOPPOLD DE LOBSDORF, Vilem",M,BOH
6533,"GORANOV, Kamen",M,BUL
6534,"GORB, Tatiana",F,EUN
6535,"GORB, Tatyana",F,URS
6536,"GORBACHEV, Nikolai",M,URS
6537,"GORBATIKOV, Alexander",M,RUS
6538,"GORBATKOVA, Nelli",F,URS
6539,"GORBUNOVA, Tatiana",F,RUS
6540,"GORCHAKOVA, Elena",F,URS
6541,"GORDIEN, Fortune Edward",M,USA
6542,"GORDON-MCKAY, Helen Orr",F,GBR
6543,"GORDON-WATSON, Mary Diana",F,GBR
6544,"GORDON, Alastair",M,AUS
6545,"GORDON, Bridgette C.",F,USA
6546,"GORDON, Edward Lansing",M,USA
6547,"GORDON, Peter D.",M,CAN
6548,"GORE, Arthur Wentworth",M,GBR
6549,"GORETZKI, Viola",F,GDR
6550,"GORGON, Jerzy",M,POL
6551,"GORGORI, Abutaleb",M,IRI
6552,"GORLA, Giorgio",M,ITA
6553,"GORLUKOVICH, Sergei",M,URS
6554,"GORMAN, Francis Xavier",M,USA
6555,"GORMAN, James Edward",M,USA
6556,"GORMAN, Thomas Patrick",M,CAN
6557,"GORNO, Reinaldo",M,ARG
6558,"GOROBIY, Oleg",M,RUS
6559,"GOROKHOVA, Galina",F,URS
6560,"GOROKHOVSKAYA, Mariya",F,URS
6561,"GOROSTEGUI CEBALLOS, Antonio",M,ESP
6562,"GORPICHIN, Viatcheslav",M,RUS
6563,"GORSHKOV, Dmitry",M,EUN
6564,"GORSHKOV, Dmitry",M,RUS
6565,"GORSKI, Mark Brian",M,USA
6566,"GORTAT, Janusz",M,POL
6567,"GORTZEN, Guido",M,NED
6568,"GORYAEV, Vladimir",M,URS
6569,"GORYUSHEV, Valeriy",M,RUS
6570,"GOSPER, Richard Kevan",M,AUS
6571,"GOSS, Donald Alexander",M,CAN
6572,"GOSSE, Christine",F,FRA
6573,"GOSSICK, Susanne",F,USA
6574,"GOSSLER, Carl Heinrich",M,GER
6575,"GOSSLER, Gustav Ludwig",M,GER
6576,"GOSSLER, Oscar",M,GER
6577,"GOSSWEILER, Marianne",F,SUI
6578,"GOT, Raoul",M,FRA
6579,"GOTO, Toru",M,JPN
6580,"GOTTENKIENY, G.",M,SUI
6581,"GOTTSCHLICH, Stefanie",F,GER
6582,"GOTZ, Daniela",F,GER
6583,"GOUDZ, Lioudmila",F,EUN
6584,"GOUJON, Jean",M,FRA
6585,"GOULD, Jay",M,USA
6586,"GOULD, Kenneth",M,USA
6587,"GOULD, Shane",F,AUS
6588,"GOULDING, George",M,CAN
6589,"GOULDING, Grantley",M,GBR
6590,"GOUNOT, Jean",M,FRA
6591,"GOURDAIN, Mathieu",M,FRA
6592,"GOURDIN, Edward Orval",M,USA
6593,"GOURDINE, Meredith Charles",M,USA
6594,"GOURLEY, John",M,CAN
6595,"GOURRIEL CASTILLO, Yulieski",M,CUB
6596,"GOURRIEL, Yuliesky",M,CUB
6597,"GOUSKOS, Miltiadis",M,GRE
6598,"GOUSSEVA, Elina",F,EUN
6599,"GOUTSOU, Tatiana",F,EUN
6600,"GOUVEIA, Antonio Carlos",M,BRA
6601,"GOYETTE, Cynthia Lee",F,USA
6602,"GOZDZIAK, Dariusz",M,POL
6603,"GOZZI, Giovanni",M,ITA
6604,"GRÃ–BNER, Wilfried",M,GDR
6605,"GRÃ–NBERG, Axel",M,SWE
6606,"GRÃ–NBORG, Christian",M,DEN
6607,"GRÃ–NDAHL, Kelpo Olavi",M,FIN
6608,"GRÃ–NER, Sverre",M,NOR
6609,"GRÃ–NING, Peter",M,EUA
6610,"GRABERT, Rob",M,NED
6611,"GRABOVETSKAYA, Mariya",F,KAZ
6612,"GRABOVSCI, Mircea",M,ROU
6613,"GRABOVSKY, Igor",M,URS
6614,"GRABOW, Guido",M,FRG
6615,"GRABOW, Volker",M,FRG
6616,"GRABOWSKY, Petra",F,GDR
6617,"GRABS, Detlev",M,GDR
6618,"GRACAN, Nenad",M,YUG
6619,"GRACE, Frederick",M,GBR
6620,"GRACIA ZAZUETA, Juan",M,MEX
6621,"GRACZYK, Jean",M,FRA
6622,"GRADANTE, Anna-Maria",F,GER
6623,"GRADDY, Samuel Louis",M,USA
6624,"GRAEF, Jedward Richard",M,USA
6625,"GRAEL SCHMIDT, Lars",M,BRA
6626,"GRAEL, Lars",M,BRA
6627,"GRAEL, Torben",M,BRA
6628,"GRAF VON BERNSTORFF, Erich",M,GER
6629,"GRAF, Steffi",F,FRG
6630,"GRAF, Steffi",F,GER
6631,"GRAF, Stephanie",F,AUT
6632,"GRAFF, Edward",M,USA
6633,"GRAFSTRÃ–M, Gillis",M,SWE
6634,"GRAHAM, Clifford John",M,CAN
6635,"GRAHAM, Elka",F,AUS
6636,"GRAHAM, Ephraim Foster",M,USA
6637,"GRAHAM, Glenn",M,USA
6638,"GRAHAM, James R.",M,USA
6639,"GRAHAM, Kelvin John",M,AUS
6640,"GRAHAM, Kim",F,USA
6641,"GRAHAM, Lorraine",F,JAM
6642,"GRAHAM, Norris James",M,USA
6643,"GRAHAM, Timothy Joseph Michael",M,GBR
6644,"GRAHAM, William Ernest",M,GBR
6645,"GRAHAM, Winthrop",M,JAM
6646,"GRAHAMMER, Roland",M,FRG
6647,"GRAHN, Dieter",M,GDR
6648,"GRAINGER, Katherine",F,GBR
6649,"GRAN OLSEN/GRANGARD, Halfdan",M,NOR
6650,"GRANBASSI, Margherita",F,ITA
6651,GRANDJEAN,M,FRA
6652,"GRANFELDT, Nils Daniel",M,SWE
6653,"GRANFELT, Erik",M,SWE
6654,"GRANFELT, Hans",M,SWE
6655,"GRANGER-VEYRON, Herve",M,FRA
6656,"GRANGER, Michele",F,USA
6657,"GRANKIN, Sergey",M,RUS
6658,"GRANSTRÃ–M, Konrad",M,SWE
6659,"GRANSTRÃ–M, Otto",M,FIN
6660,"GRANT, Ann Marry Gwynne",F,ZIM
6661,"GRÃœNIG, Emil",M,SUI
6662,"GRÃœNKE, Klaus-JÃ¼rgen",M,GDR
6663,"GRÃœTER, Alfred",M,SUI
6664,"GRÃœTZNER, Stefan",M,GDR
6665,"GRAPENTHIN, Hans-Ulrich",M,GDR
6666,"GRATCHEVA, Tatiana",F,RUS
6667,"GRATTON, Gerald A.",M,CAN
6668,"GRAVELOTTE, EugÃ¨ne-Henri",M,FRA
6669,"GRAVENSTIJN, Deborah",F,NED
6670,"GRAVES, Carolyn Brand",F,USA
6671,"GRAVES, Edwin Darius",M,USA
6672,"GRAVES, James",M,USA
6673,"GRAVINA, Pasquale",M,ITA
6674,"GRAY, Edgar Laurence",M,AUS
6675,"GRAY, Gilbert T.",M,USA
6676,"GRAY, John",M,USA
6677,"GRAY, Johnny Lee Jr",M,USA
6678,"GRAYER, Jeffrey",M,USA
6679,GRAZIELLE,F,BRA
6680,"GRBIC, Nikola",M,YUG
6681,"GRBIC, Vladimir",M,YUG
6682,"GREBE, William",M,USA
6683,"GREBNEV, Oleg",M,EUN
6684,"GRECU, Danut",M,ROU
6685,"GREEN, Carl",M,SWE
6686,"GREEN, Chad",M,USA
6687,"GREEN, David Michael",M,AUS
6688,"GREEN, Deborah",F,USA
6689,"GREEN, Dennis Allan",M,AUS
6690,"GREEN, Eric Hubert",M,GBR
6691,"GREEN, Franklin Crawford",M,USA
6692,"GREEN, Nicholas",M,AUS
6693,"GREEN, Thomas William",M,GBR
6694,"GREENBAUM, Daniel Robert",M,USA
6695,"GREENE-JILES, Pamela",F,USA
6696,"GREENE, Alan",M,USA
6697,"GREENE, Angela Nora G.",F,GBR
6698,"GREENE, Charles Edward",M,USA
6699,"GREENE, Joe",M,USA
6700,"GREENE, Maurice",M,USA
6701,"GREENHOUGH-SMITH, Dorothy",F,GER
6702,"GREENWOOD, Nimrod",M,AUS
6703,"GREER, Frank",M,USA
6704,"GREER, Henry Kirk",M,USA
6705,"GREGG, Duncan Smith",M,USA
6706,"GREGG, Richard George",M,GBR
6707,"GREGG, Steven Garrett",M,USA
6708,"GREGGAN, William",M,GBR
6709,"GREGO, Melania",F,ITA
6710,"GREGOIRE, Oscar",M,BEL
6711,"GREGOR, Andreas",M,GDR
6712,"GREGOR, Horst-GÃ¼nther",M,EUA
6713,"GREGOR, Horst-GÃ¼nther",M,GDR
6714,"GREGORKA, Alison",F,USA
6715,"GREGORKA, Boris",M,YUG
6716,"GREGORY, Elvis",M,CUB
6717,"GREGORY, John Arthur",M,GBR
6718,"GREGORY, Leonard Stuart",M,AUS
6719,"GREGOV, Alan",M,CRO
6720,"GREIG, Marion",F,USA
6721,"GREINER, Thomas",M,GDR
6722,"GREISINGER, Seth",M,USA
6723,"GREN, Gunnar",M,SWE
6724,"GRENDA, Michael",M,AUS
6725,GRENET,M,FRA
6726,"GREPPERUD, Hans Magnus",M,NOR
6727,"GRESSIER, Louis A.",M,FRA
6728,"GRESZKIEWICZ, Jerzy",M,POL
6729,"GRETER, Johan Jacob",M,NED
6730,"GRETTON, John H.",M,GBR
6731,"GREVERS, Matt",M,USA
6732,"GREVILLE, Julia",F,AUS
6733,"GREWAL, Alexi S.",M,USA
6734,"GREY-GARDNER, Robyn",F,AUS
6735,"GRIEB, John",M,USA
6736,"GRIEDER, Hans",M,SUI
6737,"GRIESE, Joachim",M,FRG
6738,"GRIFFEN, Thomas",M,ANZ
6739,"GRIFFING, Stuart Lane",M,USA
6740,"GRIFFITH-JOYNER, Florence",F,USA
6741,"GRIFFITH, Yolanda",F,USA
6742,"GRIFFITHS, Cecil Richmond",M,GBR
6743,"GRIFFITHS, William Salterlee",M,GBR
6744,"GRIGORAS, Anca",F,ROU
6745,"GRIGORAS, Cristina Elena",F,ROU
6746,"GRIGORAS, Ioan",M,ROU
6747,"GRIGORE, Andreea",F,ROU
6748,"GRIGORESCU, Claudia Laura",F,ROU
6749,"GRIGORIEVA, Tatiana",F,AUS
6750,"GRIGOROVSKY, Yuri",M,URS
6751,"GRIGORYEV, Oleg",M,URS
6752,"GRILLO, Gabriela",F,FRG
6753,"GRIMA, Hollie",F,AUS
6754,"GRIMES, Charles Livingston",M,USA
6755,"GRIMLEY, Martyn Andrew",M,GBR
6756,"GRIMM, Alexander",M,GER
6757,"GRIMMEL, Torben",M,DEN
6758,"GRIMMELMANN, Hermann Johan",M,DEN
6759,"GRIMSBOE, Kari Aalvik",F,NOR
6760,"GRIN, Sergij",M,UKR
6761,"GRINDLEY, David Allan",M,GBR
6762,"GRINGS, Inka",F,GER
6763,"GRINHAM, Judith Brenda",F,GBR
6764,"GRINI, Kjersti",F,NOR
6765,"GRISAR, Albert",M,BEL
6766,"GRISHCHENKOVA, Alla",F,URS
6767,"GRISHIN, Anatoli",M,URS
6768,"GRISHIN, Boris",M,URS
6769,"GRISHIN, Evgeni",M,URS
6770,"GRISHINA, Oksana",F,RUS
6771,"GRISOT, EugÃƒÂ¨ne G.",M,FRA
6772,"GRITSUN, Eduard",M,RUS
6773,"GRIVENNIKOV, Igor",M,URS
6774,"GROAPA, Vasile",M,ROU
6775,"GROB, Jakob",M,SUI
6776,"GROC, Patrick",M,FRA
6777,"GRODOTZKI, Hans",M,EUA
6778,"GROESSEL, Zdenek",M,TCH
6779,"GROF, Ã–dÃ¶n",M,HUN
6780,"GROL, Henk",M,NED
6781,"GROMAK, Yuri",M,URS
6782,"GROMAN, Herman",M,USA
6783,"GROMOVA, Lyudmila",F,URS
6784,"GROMOVA, Maria",F,RUS
6785,"GRONBEK, Maja",F,DEN
6786,"GRONDELAERS, Robert",M,BEL
6787,"GRONDONA, C.",M,USA
6788,"GRONE, Bernd",M,FRG
6789,"GRONMAN, Jouni Johannes",M,FIN
6790,"GRONOWICZ, Andrzej",M,POL
6791,"GROOSJOHAN, Bernardus",M,NED
6792,"GROOT, Chantal",F,NED
6793,"GROSHEVA, Elena",F,RUS
6794,"GROSICS, Gyula",M,HUN
6795,"GROSLING, William Sullivan",M,GBR
6796,"GROSS, Edward",M,USA
6797,"GROSS, Michael",M,FRG
6798,"GROSSI, Oreste",M,ITA
6799,"GROSVENOR, William Percy",M,GBR
6800,"GROTE, Kurt",M,USA
6801,"GROTHAUS, Gisela",F,FRG
6802,"GROUDNEVA, Elena",F,EUN
6803,"GROVER, Alan Geoffrey",M,AUS
6804,"GROZA, Alexander John",M,USA
6805,"GROZDEVA, Maria",F,BUL
6806,"GROZDOVA, Svetlana",F,URS
6807,"GRUBB, Frederick Henry",M,GBR
6808,"GRUBB, Timothy",M,GBR
6809,"GRUBOR, Luka",M,GBR
6810,"GRUCHALA, Sylwia",F,POL
6811,"GRUDZIEN, Jozef",M,POL
6812,"GRUIA, Gheorghe",M,ROU
6813,"GRUITCHEVA-KUBATOVA, Stoyanka",F,BUL
6814,"GRUMIAUX, Emile",M,FRA
6815,"GRUNER, Klaus",M,GDR
6816,"GRUNFELD, Ernest",M,USA
6817,"GRUPPIONI, Mario",M,ITA
6818,"GRUSAC, Vitalie",M,MDA
6819,"GRUT, William",M,SWE
6820,"GRYLLS, David Mills",M,USA
6821,"GRZESIAK, Jozef",M,POL
6822,"GU, Beibei",F,CHN
6823,"GU, Jun",F,CHN
6824,"GU, Xiaoli",F,CHN
6825,"GU, Young Jo",M,PRK
6826,"GUAN, Weizhen",F,CHN
6827,"GUARAGNA, Gioachino",M,ITA
6828,"GUARDIOLA HAY, Jorge",M,ESP
6829,"GUARDIOLA SALA, Josep",M,ESP
6830,"GUAY, Lucie",F,CAN
6831,"GUBIJAN, Ivan",M,YUG
6832,"GUCZOGHY, GyÃ¶rgy",M,HUN
6833,"GUDE, Franziska",F,GER
6834,"GUDELJ, Bruno",M,CRO
6835,"GUDERZO, Tatiana",F,ITA
6836,"GUDJONSSON, Snorri Steinn",M,ISL
6837,"GUDMUNDSSON, Hreidar Levy",M,ISL
6838,"GUDZINEVICIUTE, Daina",F,LTU
6839,"GUECHEVA, Vania",F,BUL
6840,"GUEGUEN, Raoul",M,FRA
6841,"GUENOT, Christophe",M,FRA
6842,"GUENOT, Steeve",M,FRA
6843,"GUENTHER, Sarah",F,GER
6844,"GUEPIN, Antonij Johannes",M,NED
6845,"GUERASSIMOV, Alexandre",M,RUS
6846,"GUERDAT, Steve",M,SUI
6847,"GUERETTE, Michelle",F,USA
6848,"GUERIN, Henri",M,FRA
6849,"GUERRA CABRERA, Patricia",F,ESP
6850,"GUERRA, Pietro",M,ITA
6851,"GUERRERO MENDEZ, Belem",F,MEX
6852,"GUERRERO, Eduardo",M,ARG
6853,"GUERRIER, A.",M,FRA
6854,"GUERRINI, Giancarlo",M,ITA
6855,"GUEST, David",M,AUS
6856,"GUEST, Fred",M,GBR
6857,"GUEST, Irene",F,USA
6858,"GUEST, John Schofield",M,CAN
6859,"GUEVARA, Ana",F,MEX
6860,"GUFFLET, Maurice",M,FRA
6861,"GUFLER, Edith",F,ITA
6862,"GUGLIELMETTI, Savino",M,ITA
6863,"GUIARO, RONALDO",M,BRA
6864,"GUIBAL, Brigitte",F,FRA
6865,"GUICHELAAR, Rianne",F,NED
6866,"GUICHOT, Pierre",M,FRA
6867,"GUIDRY-WHITE, Carlette D.",F,USA
6868,"GUIETTE, Charles",M,BEL
6869,"GUIGOU, Michael",M,FRA
6870,"GUIGUET, Lucien",M,FRA
6871,"GUIJOSA, Rafael",M,ESP
6872,"GUILHEIRO, Leandro",M,BRA
6873,"GUILLABERT, Guy",M,FRA
6874,"GUILLEMOT, Joseph",M,FRA
6875,"GUILLOU, Fernand",M,FRA
6876,"GUILOTTI GONZALEZ, Mario",M,ARG
6877,"GUIMARAES, Henrique",M,BRA
6878,"GUINNESS, Heather Seymour",F,GBR
6879,"GUINNESS, Humphrey Patrick",M,GBR
6880,"GUISSART, Jacques Jean",M,FRA
6881,"GUISSART, Rene Jacques",M,FRA
6882,"GUITTET, Jacques",M,FRA
6883,"GUIVEGTCHI, Nasser",M,IRI
6884,"GULACK, George Julius",M,USA
6885,"GULACSI-SZOLNOKI, Maria",F,HUN
6886,"GULBRANDSEN, Per",M,NOR
6887,"GULBRANDSEN, Ragnhild",F,NOR
6888,"GULBRANDSEN, Solveig",F,NOR
6889,"GULLA, Alejandra",F,ARG
6890,"GULLOCK, Gary",M,AUS
6891,"GULREZ, Akhtar",M,PAK
6892,"GULYAEV, Vadim",M,URS
6893,"GULYAS-KÃ–TELES, Erzsebet",F,HUN
6894,"GULYAS, Karolyne",F,HUN
6895,"GULYOV, Zafar",M,RUS
6896,"GUMPEL, Max",M,SWE
6897,"GUNAWAN, Rudy",M,INA
6898,"GUNAWAN, Tony",M,INA
6899,"GUNBA, Saida",F,URS
6900,"GUNCHEV, Stoian",M,BUL
6901,"GUNDERSEN, Trude",F,NOR
6902,"GUNDERSON, Jacob",M,NOR
6903,"GUNES, Roland",M,ROU
6904,"GUNKEL, Wolfgang",M,GDR
6905,"GUNN, Adam",M,USA
6906,"GUNN, Charles",M,GBR
6907,"GUNN, Richard Kenneth",M,GBR
6908,"GUNNARSSON, Evert",M,SWE
6909,"GUNNARSSON, Martine Ingemar",M,USA
6910,"GUNNARSSON, Robert",M,ISL
6911,"GUNNARSSON, Susanne",F,SWE
6912,"GUNNELL, Sally Janet Jane",F,GBR
6913,"GUNNING, Pieter Adriaan",M,NED
6914,"GUNST, Fritz",M,GER
6915,"GUNST, Thomas",M,FRG
6916,"GUNTHARDT, Rudolf",M,SUI
6917,"GUNTHER, Roland",M,FRG
6918,"GUO, Dan",F,CHN
6919,"GUO, Jingjing",F,CHN
6920,"GUO, Linyao",M,CHN
6921,"GUO, Shuang",F,CHN
6922,"GUO, Wenjun",F,CHN
6923,"GUO, Yue",F,CHN
6924,"GUREEVA, Lyudmila",F,URS
6925,"GURENDEZ, Lorena",F,ESP
6926,"GUREVICH, Boris",M,URS
6927,"GURICS, GyÃ¶rgy",M,HUN
6928,"GURKOVSKY, Pavel",M,URS
6929,"GURMAIL, Singh",M,IND
6930,"GURNEY, Hilda Carolyn",F,USA
6931,"GUROVA, Ginka",F,BUL
6932,"GUROVICS, Jozsef",M,HUN
6933,"GURR, Donna Marie",F,CAN
6934,"GURRIEL DELGADO, Lourdes",M,CUB
6935,"GURYEVA, Elena",F,URS
6936,"GUSENBAUER-MAJDAN, Ilona",F,AUT
6937,"GUSEV, Aleksandr",M,URS
6938,"GUSEVA, Elina",F,URS
6939,"GUSEYNOV, Nazim",M,EUN
6940,"GUSHCHIN, Aleksei",M,URS
6941,"GUSHCHIN, Eduard",M,URS
6942,"GUSHCHINA, Yulia",F,RUS
6943,"GUSHIKEN, Koji",M,JPN
6944,"GUST, Reinhard",M,GDR
6945,"GUSTAFSSON, August",M,SWE
6946,"GUSTAFSSON, Bo",M,SWE
6947,"GUSTAFSSON, Helge",M,SWE
6948,"GUSTAFSSON, Janne",M,SWE
6949,"GUSTAFSSON, Karl",M,SWE
6950,"GUSTAFSSON, Tina",F,SWE
6951,"GUSTAVO, Roseli",F,BRA
